Area,Bedrooms,Bathrooms,Stories,Parking,Age,City,Furnishing,Main Road,Guest Room,Basement,Water Supply,Air Conditioning,Preferred Tenant,Locality Rating,Price
1878,4,1,2,0,17,Chennai,Furnished,Yes,Yes,No,Corporation,Yes,Family,10,1368388
2956,2,3,1,1,8,Delhi,Furnished,No,No,Yes,Corporation,No,Family,2,1019254
1175,5,3,1,1,12,Chennai,Unfurnished,No,No,No,Borewell,Yes,Bachelor,4,1320232
4414,3,3,1,2,39,Hyderabad,Semi-Furnished,No,Yes,No,Both,Yes,Bachelor,2,1376318
434,4,2,3,2,44,Pune,Unfurnished,Yes,Yes,No,Both,Yes,Family,7,1311196
3552,5,2,3,2,14,Delhi,Unfurnished,No,Yes,Yes,Corporation,Yes,Family,10,1517838
2355,1,1,3,2,42,Pune,Furnished,No,Yes,Yes,Both,Yes,Bachelor,1,968111
1985,1,3,2,2,43,Bangalore,Semi-Furnished,No,Yes,No,Corporation,No,Company,2,752617
4343,1,2,2,2,45,Delhi,Unfurnished,Yes,Yes,No,Both,Yes,Company,5,1003006
3473,1,2,1,0,3,Chennai,Furnished,No,No,No,Both,No,Bachelor,2,778863
1421,3,2,2,1,32,Hyderabad,Unfurnished,Yes,No,No,Both,Yes,Family,9,1191070
3861,4,2,1,0,23,Pune,Unfurnished,Yes,Yes,No,Corporation,No,Family,4,1394227
3013,2,2,1,0,35,Delhi,Furnished,Yes,No,No,Borewell,Yes,Bachelor,9,1027669
5625,3,3,1,2,40,Hyderabad,Furnished,Yes,Yes,No,Both,Yes,Company,1,1623693
4243,3,3,2,1,9,Pune,Semi-Furnished,No,No,No,Both,Yes,Bachelor,1,1346974
1900,2,3,3,0,35,Bangalore,Unfurnished,Yes,Yes,Yes,Both,No,Bachelor,1,1175899
5198,2,3,2,2,19,Kolkata,Semi-Furnished,Yes,Yes,No,Corporation,No,Bachelor,4,1449814
561,1,1,1,2,40,Bangalore,Furnished,No,No,Yes,Borewell,No,Family,9,622387
4697,3,3,1,1,44,Kolkata,Furnished,Yes,No,No,Corporation,Yes,Family,8,1197363
2381,5,2,2,0,43,Mumbai,Unfurnished,Yes,No,Yes,Both,Yes,Family,7,1395049
1395,2,3,1,0,10,Kolkata,Semi-Furnished,Yes,No,Yes,Corporation,No,Company,1,769432
5311,2,1,1,0,11,Mumbai,Semi-Furnished,Yes,No,No,Both,Yes,Bachelor,3,855112
3742,4,2,2,2,17,Delhi,Unfurnished,Yes,No,Yes,Both,No,Bachelor,9,1238883
4951,5,3,2,1,29,Mumbai,Unfurnished,Yes,No,Yes,Corporation,Yes,Company,9,1747706
4198,5,3,2,1,43,Hyderabad,Semi-Furnished,No,No,No,Both,No,Family,5,1693536
1675,2,3,1,0,47,Mumbai,Furnished,No,Yes,No,Both,No,Bachelor,6,888699
1416,1,2,1,2,36,Hyderabad,Furnished,No,No,No,Borewell,Yes,Company,6,1009500
737,4,2,3,0,19,Pune,Unfurnished,No,No,Yes,Corporation,No,Family,10,1140380
1278,5,1,3,1,24,Pune,Semi-Furnished,Yes,Yes,No,Corporation,Yes,Family,4,1217272
1476,2,2,2,2,11,Kolkata,Semi-Furnished,Yes,Yes,Yes,Both,Yes,Bachelor,1,1252281
5287,5,2,3,0,20,Kolkata,Semi-Furnished,Yes,Yes,No,Both,Yes,Family,5,1533016
4393,4,3,1,0,24,Kolkata,Furnished,No,Yes,No,Corporation,No,Company,1,1290823
5259,4,2,3,2,10,Mumbai,Furnished,No,No,Yes,Corporation,No,Family,1,1499311
779,3,3,1,1,8,Kolkata,Semi-Furnished,Yes,No,Yes,Corporation,No,Bachelor,5,1218701
892,2,3,2,2,49,Mumbai,Semi-Furnished,Yes,Yes,Yes,Both,Yes,Company,5,1061297
5676,4,2,2,0,24,Mumbai,Unfurnished,No,Yes,No,Borewell,Yes,Family,7,1483190
2462,3,1,1,0,34,Chennai,Unfurnished,No,No,No,Borewell,No,Family,2,540750
4284,3,1,3,0,31,Chennai,Semi-Furnished,No,No,No,Both,Yes,Family,6,1123874
464,5,2,2,0,48,Mumbai,Semi-Furnished,No,No,Yes,Both,Yes,Company,2,610559
2968,5,1,2,1,13,Pune,Furnished,Yes,No,Yes,Both,No,Family,10,1832394
5863,3,3,3,1,0,Hyderabad,Semi-Furnished,No,Yes,Yes,Corporation,No,Bachelor,5,1654363
5648,5,3,3,0,16,Delhi,Unfurnished,No,No,Yes,Both,Yes,Company,4,1529777
2427,4,2,1,1,24,Bangalore,Furnished,Yes,Yes,No,Corporation,Yes,Company,10,1310921
3095,1,1,3,1,7,Chennai,Unfurnished,Yes,Yes,Yes,Borewell,No,Family,5,870852
1895,4,1,3,1,4,Mumbai,Unfurnished,Yes,Yes,Yes,Both,No,Company,2,1285231
5658,3,3,3,0,4,Bangalore,Furnished,No,No,No,Both,Yes,Bachelor,8,1329667
791,3,2,1,2,40,Chennai,Unfurnished,No,Yes,No,Corporation,Yes,Company,8,1046222
4914,4,1,1,2,34,Delhi,Semi-Furnished,No,No,Yes,Corporation,Yes,Bachelor,6,1639436
4874,5,2,2,2,18,Hyderabad,Unfurnished,No,Yes,Yes,Corporation,No,Family,3,1335348
3961,5,1,1,0,22,Mumbai,Furnished,Yes,No,Yes,Borewell,Yes,Company,4,1406717
2678,3,3,2,1,8,Delhi,Furnished,Yes,Yes,Yes,Borewell,Yes,Bachelor,1,1759176
3499,2,3,3,1,29,Pune,Furnished,No,Yes,Yes,Both,Yes,Family,9,1611262
600,5,2,2,0,49,Chennai,Unfurnished,No,No,Yes,Both,Yes,Bachelor,10,1261388
5275,4,3,2,0,15,Mumbai,Semi-Furnished,No,No,No,Corporation,Yes,Company,5,1559995
3504,5,1,3,2,32,Bangalore,Furnished,Yes,Yes,No,Borewell,Yes,Company,8,1692110
4998,4,3,2,2,1,Pune,Semi-Furnished,No,Yes,No,Both,No,Bachelor,3,1743324
2854,3,2,1,0,13,Pune,Furnished,Yes,No,No,Corporation,No,Family,4,991840
4045,5,2,1,2,45,Kolkata,Semi-Furnished,No,Yes,Yes,Corporation,No,Family,4,1141322
1204,4,2,1,1,0,Hyderabad,Semi-Furnished,Yes,No,Yes,Borewell,Yes,Family,8,1253544
3131,3,1,1,0,25,Pune,Semi-Furnished,Yes,No,Yes,Borewell,No,Family,9,885349
3173,2,1,2,0,24,Chennai,Furnished,No,Yes,Yes,Both,Yes,Bachelor,3,1012200
1970,4,1,2,1,15,Hyderabad,Unfurnished,Yes,No,No,Both,Yes,Company,7,1146837
5456,2,1,3,1,14,Mumbai,Unfurnished,Yes,Yes,Yes,Corporation,Yes,Bachelor,9,1555973
5981,2,1,2,1,25,Kolkata,Unfurnished,No,No,Yes,Corporation,Yes,Company,2,1165653
3090,1,3,2,2,46,Delhi,Semi-Furnished,Yes,No,Yes,Corporation,Yes,Company,4,1195889
4240,5,1,2,0,43,Hyderabad,Furnished,No,Yes,Yes,Both,No,Bachelor,3,1349458
1428,4,1,3,2,15,Bangalore,Semi-Furnished,Yes,No,No,Borewell,No,Bachelor,8,1144351
902,2,3,1,1,13,Chennai,Furnished,Yes,Yes,Yes,Both,No,Family,4,747443
4893,1,1,2,2,28,Bangalore,Semi-Furnished,Yes,No,No,Borewell,Yes,Company,9,1188554
1270,3,2,3,1,23,Hyderabad,Furnished,Yes,No,Yes,Both,No,Family,1,1270896
4888,4,1,3,2,46,Kolkata,Furnished,No,No,Yes,Both,Yes,Family,1,1468029
606,2,1,3,2,14,Delhi,Furnished,No,No,Yes,Borewell,No,Bachelor,4,915131
5534,5,2,1,1,18,Delhi,Semi-Furnished,No,Yes,No,Both,No,Family,3,1504715
1884,1,2,2,2,7,Bangalore,Unfurnished,Yes,No,Yes,Both,No,Family,3,840040
1263,2,2,3,0,33,Mumbai,Semi-Furnished,Yes,No,Yes,Corporation,No,Family,10,1309141
3190,5,2,1,2,1,Mumbai,Semi-Furnished,No,No,Yes,Borewell,No,Bachelor,2,1534809
963,2,1,3,2,26,Kolkata,Furnished,No,Yes,No,Borewell,No,Family,10,1282706
5516,4,2,3,0,9,Delhi,Furnished,No,Yes,No,Corporation,Yes,Family,10,1841120
4591,4,2,3,1,34,Bangalore,Unfurnished,No,Yes,Yes,Borewell,Yes,Bachelor,2,1240934
2157,4,3,3,0,22,Bangalore,Unfurnished,Yes,Yes,No,Corporation,Yes,Bachelor,8,1555869
2078,1,2,3,2,48,Bangalore,Furnished,No,No,Yes,Borewell,Yes,Bachelor,1,1099128
3642,4,2,1,1,7,Hyderabad,Unfurnished,Yes,No,Yes,Borewell,Yes,Company,8,1458983
5036,5,3,2,2,27,Kolkata,Unfurnished,No,No,No,Borewell,No,Bachelor,10,1705551
1459,2,3,2,2,22,Mumbai,Furnished,Yes,Yes,Yes,Borewell,Yes,Company,3,1392454
5679,3,1,2,0,3,Mumbai,Semi-Furnished,No,Yes,Yes,Corporation,Yes,Bachelor,2,1671369
2122,5,3,2,0,13,Hyderabad,Unfurnished,No,No,No,Corporation,Yes,Bachelor,9,1406392
3714,5,1,1,1,41,Chennai,Furnished,Yes,No,No,Borewell,Yes,Bachelor,5,1541790
3557,4,3,1,1,28,Hyderabad,Unfurnished,Yes,No,No,Both,Yes,Company,5,1250771
3025,1,3,1,1,0,Kolkata,Unfurnished,No,Yes,No,Corporation,Yes,Family,6,1120096
3129,2,1,3,2,3,Bangalore,Furnished,Yes,No,Yes,Borewell,Yes,Bachelor,4,1454137
1997,1,3,3,0,31,Hyderabad,Unfurnished,No,No,Yes,Corporation,Yes,Company,7,1037983
3460,2,1,3,0,32,Bangalore,Unfurnished,Yes,Yes,Yes,Both,Yes,Bachelor,7,1369987
3093,2,3,2,0,48,Kolkata,Unfurnished,No,Yes,Yes,Both,No,Family,9,930938
5291,1,2,3,1,25,Pune,Semi-Furnished,No,No,Yes,Both,Yes,Company,6,1156876
5547,5,3,2,0,16,Kolkata,Semi-Furnished,No,Yes,Yes,Borewell,Yes,Bachelor,1,1670677
4027,2,1,3,0,38,Delhi,Unfurnished,No,No,Yes,Borewell,No,Bachelor,9,1106741
1763,1,3,2,0,22,Bangalore,Furnished,No,No,Yes,Both,No,Bachelor,10,1039694
2381,2,1,3,1,31,Mumbai,Unfurnished,No,No,No,Corporation,Yes,Family,9,1209223
5850,3,1,3,0,14,Hyderabad,Unfurnished,No,No,Yes,Corporation,Yes,Company,5,1160746
2063,5,2,1,1,12,Pune,Semi-Furnished,No,Yes,Yes,Both,Yes,Bachelor,7,1284693
1929,4,2,3,0,1,Kolkata,Semi-Furnished,Yes,Yes,Yes,Borewell,No,Bachelor,1,1310459
2438,2,1,3,0,18,Bangalore,Semi-Furnished,Yes,Yes,Yes,Corporation,Yes,Company,4,1087702
5992,3,3,1,0,23,Pune,Unfurnished,Yes,No,Yes,Corporation,No,Family,10,1406449
3702,4,1,2,1,44,Chennai,Unfurnished,No,No,No,Corporation,No,Family,4,1032009
2637,4,1,1,1,23,Delhi,Furnished,No,No,No,Borewell,No,Family,5,1042717
5904,2,3,1,0,10,Chennai,Unfurnished,No,Yes,No,Both,No,Family,6,1097999
5896,1,3,2,2,21,Kolkata,Unfurnished,Yes,Yes,Yes,Borewell,No,Family,4,1246587
1706,2,3,3,1,14,Chennai,Semi-Furnished,Yes,No,Yes,Corporation,Yes,Bachelor,6,1245612
4429,3,3,2,1,9,Chennai,Semi-Furnished,Yes,Yes,Yes,Both,Yes,Bachelor,10,1611770
3075,4,1,3,0,40,Delhi,Semi-Furnished,Yes,Yes,Yes,Borewell,No,Bachelor,7,1243960
5468,2,1,3,2,26,Delhi,Semi-Furnished,Yes,Yes,No,Both,No,Company,3,1377579
1682,1,2,2,0,8,Delhi,Semi-Furnished,No,Yes,No,Corporation,No,Family,9,898023
1109,2,1,1,1,27,Pune,Furnished,Yes,No,Yes,Borewell,No,Company,8,1244552
5975,5,3,2,1,0,Delhi,Furnished,No,Yes,Yes,Both,Yes,Family,1,1852605
5930,1,2,3,0,16,Chennai,Furnished,No,No,No,Borewell,No,Family,2,979171
5144,3,3,2,0,30,Mumbai,Semi-Furnished,No,Yes,No,Corporation,No,Company,2,1634241
4813,4,1,2,2,43,Mumbai,Semi-Furnished,Yes,No,No,Both,Yes,Bachelor,10,1586323
4148,2,2,3,2,9,Delhi,Semi-Furnished,Yes,No,No,Corporation,Yes,Company,9,1593898
5753,1,3,1,1,36,Pune,Furnished,No,Yes,No,Both,Yes,Bachelor,9,1409995
5179,5,2,2,2,28,Hyderabad,Semi-Furnished,Yes,No,No,Corporation,Yes,Family,9,1852191
1063,1,2,3,2,17,Bangalore,Furnished,Yes,No,No,Corporation,No,Bachelor,1,1018628
2398,5,1,3,1,46,Kolkata,Semi-Furnished,No,Yes,Yes,Borewell,No,Family,7,1229567
3845,3,3,2,1,37,Pune,Unfurnished,No,No,Yes,Corporation,No,Family,3,1190329
4143,4,2,1,1,38,Hyderabad,Furnished,No,Yes,No,Borewell,No,Bachelor,9,1192850
1895,3,2,2,1,48,Kolkata,Unfurnished,No,No,Yes,Corporation,No,Family,8,985545
3704,2,3,1,0,5,Hyderabad,Furnished,No,Yes,No,Corporation,No,Bachelor,3,965897
4163,1,2,1,1,39,Hyderabad,Semi-Furnished,Yes,Yes,Yes,Corporation,No,Company,1,944900
5632,5,2,1,1,11,Mumbai,Semi-Furnished,No,Yes,No,Both,No,Family,9,1621538
2253,5,2,1,1,13,Bangalore,Unfurnished,Yes,Yes,Yes,Borewell,No,Family,10,1467851
5059,1,3,2,2,43,Hyderabad,Semi-Furnished,Yes,Yes,No,Both,Yes,Company,1,1282134
1691,1,3,3,1,9,Delhi,Furnished,No,No,Yes,Borewell,No,Family,3,946936
3981,2,3,3,0,19,Kolkata,Semi-Furnished,No,No,Yes,Corporation,Yes,Company,6,1261209
3857,3,3,3,0,14,Pune,Semi-Furnished,Yes,Yes,No,Both,Yes,Company,6,1628479
2036,5,1,3,1,30,Mumbai,Furnished,No,No,No,Borewell,Yes,Family,10,1687338
4096,2,2,3,0,6,Kolkata,Unfurnished,Yes,No,No,Corporation,Yes,Company,4,954742
3399,3,3,3,2,40,Delhi,Unfurnished,No,No,Yes,Borewell,No,Company,2,1004300
3552,2,2,2,1,9,Delhi,Semi-Furnished,No,Yes,Yes,Borewell,Yes,Company,10,1220586
1098,5,2,1,0,9,Hyderabad,Furnished,Yes,Yes,Yes,Corporation,Yes,Family,6,1589161
2560,1,1,3,0,47,Delhi,Unfurnished,Yes,No,Yes,Both,No,Company,10,1005332
4497,1,3,2,1,38,Bangalore,Unfurnished,No,Yes,No,Corporation,Yes,Bachelor,5,954113
5137,3,3,3,0,27,Delhi,Semi-Furnished,No,Yes,No,Both,No,Bachelor,6,1443816
1254,4,2,3,1,29,Hyderabad,Furnished,No,No,Yes,Borewell,No,Company,7,1606904
3874,3,3,1,0,36,Kolkata,Unfurnished,Yes,Yes,No,Borewell,No,Bachelor,9,1240736
5649,4,2,1,2,2,Delhi,Semi-Furnished,No,Yes,No,Borewell,No,Family,7,1709165
5572,2,2,1,0,49,Mumbai,Semi-Furnished,No,Yes,No,Both,Yes,Company,4,1230628
2107,2,1,3,0,42,Pune,Semi-Furnished,No,Yes,No,Corporation,No,Family,10,836890
3177,5,1,3,1,14,Mumbai,Semi-Furnished,No,Yes,Yes,Both,Yes,Bachelor,5,1521122
2133,4,1,3,0,20,Mumbai,Unfurnished,Yes,No,No,Borewell,Yes,Bachelor,6,1183193
5935,5,2,1,1,36,Kolkata,Furnished,Yes,Yes,No,Borewell,No,Bachelor,9,1687720
5331,1,3,2,2,11,Chennai,Semi-Furnished,Yes,Yes,No,Corporation,Yes,Bachelor,5,1520809
3910,4,1,3,1,3,Pune,Semi-Furnished,No,No,Yes,Both,No,Family,5,1391402
602,3,3,3,1,46,Mumbai,Unfurnished,No,No,No,Borewell,Yes,Company,7,706689
3655,1,1,3,0,8,Mumbai,Semi-Furnished,No,Yes,Yes,Both,Yes,Family,2,780373
4618,1,1,2,2,38,Chennai,Semi-Furnished,Yes,No,Yes,Both,Yes,Company,3,731972
4896,3,2,3,1,41,Kolkata,Furnished,Yes,Yes,No,Corporation,Yes,Bachelor,2,1508564
1166,1,1,2,0,27,Pune,Semi-Furnished,Yes,No,No,Corporation,No,Bachelor,10,765533
4789,4,1,3,0,22,Mumbai,Unfurnished,Yes,Yes,Yes,Borewell,No,Bachelor,10,1456823
2727,5,2,2,1,44,Hyderabad,Furnished,No,No,Yes,Corporation,Yes,Bachelor,2,1293780
3331,1,3,3,0,39,Kolkata,Unfurnished,Yes,Yes,Yes,Both,Yes,Family,3,1182481
597,4,1,1,1,43,Pune,Furnished,Yes,No,Yes,Corporation,Yes,Company,6,1258759
2330,2,2,1,1,21,Mumbai,Furnished,No,Yes,No,Both,Yes,Company,5,900027
3982,4,1,1,1,23,Mumbai,Semi-Furnished,Yes,Yes,Yes,Borewell,No,Bachelor,5,1034514
1008,5,2,1,2,25,Chennai,Semi-Furnished,No,Yes,No,Both,Yes,Family,2,1302960
3672,4,3,3,1,29,Pune,Semi-Furnished,No,No,No,Corporation,Yes,Bachelor,2,1725587
1547,3,3,1,0,32,Hyderabad,Unfurnished,No,No,Yes,Corporation,Yes,Company,1,1169781
4682,5,2,2,2,15,Kolkata,Semi-Furnished,No,Yes,No,Borewell,No,Company,3,1622930
3797,2,2,1,0,21,Delhi,Semi-Furnished,No,Yes,Yes,Corporation,Yes,Family,7,1006820
2911,3,2,1,2,48,Bangalore,Furnished,Yes,Yes,Yes,Borewell,No,Company,5,1395686
2194,4,3,1,2,49,Hyderabad,Semi-Furnished,Yes,Yes,Yes,Borewell,No,Family,7,1330276
1059,5,1,3,2,42,Delhi,Semi-Furnished,No,No,No,Corporation,Yes,Bachelor,9,1315413
3211,2,3,1,2,17,Hyderabad,Semi-Furnished,Yes,No,No,Both,Yes,Bachelor,6,925564
1769,3,2,2,0,6,Pune,Semi-Furnished,No,No,Yes,Borewell,Yes,Family,2,1072497
2386,2,2,1,1,49,Delhi,Furnished,Yes,Yes,No,Both,No,Bachelor,1,825179
546,4,3,1,0,25,Pune,Semi-Furnished,Yes,Yes,No,Corporation,No,Family,1,1049724
3619,2,2,1,1,7,Delhi,Furnished,Yes,No,No,Both,Yes,Bachelor,10,931736
3311,1,3,2,0,5,Hyderabad,Unfurnished,Yes,No,No,Both,No,Bachelor,9,996634
2134,3,2,1,2,29,Chennai,Semi-Furnished,Yes,No,No,Both,Yes,Company,6,829871
2243,2,1,2,2,38,Hyderabad,Semi-Furnished,Yes,No,Yes,Both,Yes,Company,6,1260771
888,4,1,2,1,22,Pune,Semi-Furnished,Yes,Yes,No,Corporation,Yes,Family,4,1268563
3376,4,2,1,1,31,Hyderabad,Furnished,No,Yes,No,Corporation,Yes,Bachelor,2,1274260
2359,2,3,2,0,21,Delhi,Semi-Furnished,No,Yes,Yes,Both,Yes,Bachelor,10,1344447
2785,4,1,3,1,41,Bangalore,Semi-Furnished,No,No,No,Corporation,Yes,Bachelor,3,1078888
3319,5,3,1,0,42,Delhi,Unfurnished,Yes,Yes,No,Corporation,No,Company,3,1266996
5136,5,2,1,1,44,Mumbai,Furnished,Yes,No,No,Borewell,No,Family,8,1651376
2202,5,3,2,1,8,Hyderabad,Furnished,No,No,Yes,Corporation,No,Family,6,1065976
5934,1,1,2,1,30,Kolkata,Unfurnished,No,No,No,Both,Yes,Family,7,923956
4461,2,3,1,2,6,Hyderabad,Furnished,Yes,No,No,Corporation,Yes,Bachelor,9,1465263
3769,1,3,3,2,8,Chennai,Semi-Furnished,No,No,Yes,Corporation,Yes,Family,1,1194695
662,4,2,2,0,12,Pune,Semi-Furnished,No,Yes,Yes,Corporation,No,Company,2,1280285
1023,1,2,2,1,2,Kolkata,Unfurnished,No,Yes,No,Corporation,Yes,Company,9,759794
1416,4,2,3,0,34,Delhi,Furnished,No,Yes,Yes,Borewell,No,Family,5,1190786
4043,4,1,3,1,32,Chennai,Furnished,Yes,No,Yes,Both,Yes,Bachelor,4,1207199
5376,3,1,1,2,20,Hyderabad,Furnished,No,Yes,Yes,Both,No,Company,1,1459102
2449,5,2,3,2,30,Delhi,Unfurnished,No,No,No,Corporation,Yes,Company,9,1504996
5823,4,2,1,1,33,Delhi,Semi-Furnished,No,Yes,No,Corporation,Yes,Bachelor,9,1464118
4123,3,1,3,1,31,Mumbai,Unfurnished,No,No,Yes,Borewell,No,Bachelor,4,1073007
4948,5,1,2,2,34,Mumbai,Semi-Furnished,Yes,No,Yes,Corporation,No,Family,9,1681315
3508,4,1,1,2,14,Bangalore,Unfurnished,No,Yes,Yes,Borewell,No,Company,10,1331584
5679,4,1,1,0,31,Mumbai,Semi-Furnished,No,No,Yes,Both,Yes,Company,1,1581422
4490,1,2,1,2,5,Pune,Furnished,No,Yes,No,Both,No,Family,5,1159990
2456,1,1,3,1,44,Kolkata,Furnished,No,Yes,Yes,Borewell,No,Family,1,801573
3570,5,2,2,0,20,Delhi,Furnished,No,Yes,No,Both,Yes,Company,4,1429996
2082,4,3,1,1,32,Mumbai,Unfurnished,Yes,No,Yes,Corporation,Yes,Company,5,1208006
2655,2,3,1,0,31,Bangalore,Unfurnished,No,No,No,Corporation,No,Bachelor,3,537524
1554,1,1,1,1,18,Hyderabad,Unfurnished,No,No,No,Borewell,Yes,Bachelor,2,572219
4899,5,3,1,2,32,Kolkata,Furnished,Yes,No,Yes,Both,No,Company,6,1813460
3591,4,3,2,1,27,Mumbai,Semi-Furnished,No,Yes,No,Both,No,Company,3,1262955
2096,4,3,3,0,30,Delhi,Furnished,Yes,No,No,Borewell,No,Bachelor,10,1349652
4391,2,1,2,1,20,Hyderabad,Furnished,No,Yes,No,Borewell,Yes,Family,1,1350851
5123,5,1,1,0,33,Pune,Semi-Furnished,Yes,Yes,Yes,Both,No,Family,5,1143907
